"country","region","year","water_source_type","water_treatment_method","contaminant_ppm","ph_level","bacteria_count","access_clean_water_pct","diarrheal_cases_per_100k","infant_mortality_rate","gdp_per_capita_usd","healthcare_access_index","sanitation_coverage_pct"
"Mexico","North",2015,"Lake","Filtration",6.06,7.12,3344,33.6,472,76.16,57057,96.92,63.23
"Brazil","West",2017,"Well","Boiling",5.24,7.84,2122,89.54,122,77.3,17220,84.73,29.12
"Indonesia","Central",2022,"Pond","None",0.24,6.43,2330,35.29,274,48.45,86022,58.37,93.56
"Nigeria","East",2016,"Well","Boiling",7.91,6.71,3779,57.53,3,95.66,31166,39.07,94.25
"Mexico","South",2005,"Well","Filtration",0.12,8.16,4182,36.6,466,58.78,25661,23.03,69.23
"Ethiopia","West",2013,"Tap","None",2.93,8.21,880,69.48,258,70.13,84334,53.45,51.11
"China","East",2022,"River","Boiling",0.06,6.11,2977,55.43,208,92.59,6726,34.56,68.6
"Mexico","Central",2024,"Spring","None",3.76,6.42,1172,44.17,397,67.3,76593,7.27,70.22
"Indonesia","North",2014,"Well","None",0.63,6.29,159,71.66,265,44.32,5470,47.62,69.77
"Nigeria","Central",2013,"Well","Chlorination",9.14,6.45,2493,55.44,261,4.43,72858,57.11,78.67
"Brazil","South",2023,"Well","Boiling",4.16,8.43,2129,41.68,286,73.37,51303,61.13,25.37
"Indonesia","West",2021,"River","Chlorination",4.59,7.38,3078,79.01,30,96.56,50972,7.38,28.2
"Indonesia","West",2002,"Pond","Chlorination",3.5,7.17,2229,88.58,175,48.08,35058,48.31,42.62
"China","South",2023,"Lake","Boiling",6.28,8.46,2917,49.16,8,35.3,68917,65.59,47.98
"Bangladesh","East",2022,"Tap","Boiling",7.84,7.39,3013,43.05,203,52.89,50606,96.11,71.04
"Nigeria","East",2018,"River","Chlorination",6.48,7.65,1549,35.27,107,73.39,6043,2.5,33.75
"India","West",2024,"Pond","None",7.48,6.83,4573,66.95,123,2.07,7630,67.63,63.28
"Indonesia","West",2011,"Well","None",9.06,6.96,3385,88.19,237,88.95,51718,6.23,34.83
"Bangladesh","North",2001,"Pond","Filtration",8.64,7.49,1579,47.56,409,88.86,14634,15.88,48.44
"India","East",2002,"River","None",6.74,6.17,3371,62.24,129,55.05,80375,17.33,94.84
"Nigeria","South",2017,"River","Boiling",2.15,6.64,1960,41.26,233,13.99,31686,32.89,91.66
"USA","East",2000,"River","Boiling",6.38,6.49,3844,58.29,3,67.84,27313,83.13,96.25
"Ethiopia","North",2019,"Lake","Filtration",5.06,6.04,4697,31.08,479,15.51,55052,85.62,67.31
"Bangladesh","West",2020,"Spring","Boiling",7.17,7.34,2390,93.75,219,51.74,41522,37.5,60.1
"Pakistan","West",2005,"Tap","Chlorination",8.33,7.4,1419,77.36,261,11.18,75241,43.13,87.91
"USA","North",2004,"Lake","Filtration",7.43,6.96,3917,53.3,29,59.73,6633,21.7,26.37
